时间/s,位置/cm,修复前含水率,修复后含水率,绝对差,修复前四位小数,修复后四位小数,四位小数是否改变
205860,0,0.149988791229,0.149988791271,4.12682110706e-11,0.1500,0.1500,否
205860,0.1,0.149897740785,0.149897740826,4.12183065457e-11,0.1499,0.1499,否
205860,0.2,0.149623880845,0.149623880887,4.10680933705e-11,0.1496,0.1496,否
205860,0.3,0.149165054067,0.149165054107,4.08172939892e-11,0.1492,0.1492,否
205860,0.4,0.148517556685,0.148517556726,4.04649092012e-11,0.1485,0.1485,否
205860,0.5,0.147675964765,0.147675964805,4.00092181607e-11,0.1477,0.1477,否
205860,0.6,0.146632865854,0.146632865894,3.94480836885e-11,0.1466,0.1466,否
205860,0.7,0.145378465308,0.145378465347,3.87788134937e-11,0.1454,0.1454,否
205860,0.8,0.143900017703,0.143900017741,3.79978826182e-11,0.1439,0.1439,否
205860,0.9,0.142181003117,0.142181003154,3.71006003697e-11,0.1422,0.1422,否
205860,1,0.140199915456,0.140199915492,3.60804996991e-11,0.1402,0.1402,否
205860,1.1,0.137928435335,0.13792843537,3.49291984225e-11,0.1379,0.1379,否
205860,1.2,0.13532858002,0.135328580054,3.36358996211e-11,0.1353,0.1353,否
205860,1.3,0.132348058588,0.13234805862,3.21848103724e-11,0.1323,0.1323,否
205860,1.4,0.128912264739,0.12891226477,3.05536151934e-11,0.1289,0.1289,否
205860,1.5,0.124909428261,0.124909428289,2.87086882045e-11,0.1249,0.1249,否
205860,1.6,0.120160249841,0.120160249868,2.65973076896e-11,0.1202,0.1202,否
205860,1.7,0.114346598843,0.114346598867,2.41254932698e-11,0.1143,0.1143,否
205860,1.8,0.106804273182,0.106804273204,2.11023976071e-11,0.1068,0.1068,否
205860,1.9,0.0956311674127,0.0956311674297,1.70002067978e-11,0.0956,0.0956,否
205860,2,0.0525350981629,0.0525350981664,3.52830265005e-12,0.0525,0.0525,否
205920,0,0.149971220449,0.149971220492,4.2773284914e-11,0.1500,0.1500,否
205920,0.1,0.149880188694,0.149880188737,4.27219093435e-11,0.1499,0.1499,否
205920,0.2,0.149606384917,0.14960638496,4.25663115866e-11,0.1496,0.1496,否
205920,0.3,0.14914765206,0.149147652103,4.23067136879e-11,0.1491,0.1491,否
205920,0.4,0.148500286853,0.148500286895,4.19436152477e-11,0.1485,0.1485,否
205920,0.5,0.14765886608,0.147658866121,4.14719925068e-11,0.1477,0.1477,否
205920,0.6,0.14661597828,0.146615978321,4.08919842432e-11,0.1466,0.1466,否
205920,0.7,0.145361830119,0.14536183016,4.01997879429e-11,0.1454,0.1454,否
205920,0.8,0.143883677885,0.143883677924,3.93922949815e-11,0.1439,0.1439,否
205920,0.9,0.142165003879,0.142165003917,3.84643150664e-11,0.1422,0.1422,否
205920,1,0.140184304911,0.140184304948,3.7409603193e-11,0.1402,0.1402,否
205920,1.1,0.137913265427,0.137913265463,3.62175012203e-11,0.1379,0.1379,否
205920,1.2,0.135313907836,0.135313907871,3.48807926986e-11,0.1353,0.1353,否
205920,1.3,0.132333948299,0.132333948333,3.33797989249e-11,0.1323,0.1323,否
205920,1.4,0.128898790608,0.12889879064,3.16922044163e-11,0.1289,0.1289,否
205920,1.5,0.12489667962,0.12489667965,2.97827040807e-11,0.1249,0.1249,否
205920,1.6,0.120148340051,0.120148340079,2.7597410468e-11,0.1201,0.1201,否
205920,1.7,0.114335683499,0.114335683524,2.50384019074e-11,0.1143,0.1143,否
205920,1.8,0.106794594783,0.106794594805,2.19083917674e-11,0.1068,0.1068,否
205920,1.9,0.0956232115856,0.0956232116032,1.76594017187e-11,0.0956,0.0956,否
205920,2,0.0525336592307,0.0525336592337,3.05579866966e-12,0.0525,0.0525,否
205980,0,0.149953659448,0.149953659488,4.02077815487e-11,0.1500,0.1500,否
205980,0.1,0.149862646371,0.149862646411,4.01599031807e-11,0.1499,0.1499,否
