time_s,air_temperature_K,air_moisture_kgkg
0,301.15,0.01963
60,301.678,0.02002
120,302.342,0.02053
180,302.834,0.021
240,303.18699999999995,0.02151
300,303.984,0.02191
360,304.443,0.02233
420,304.96999999999997,0.02278
480,305.27099999999996,0.02325
540,305.88,0.02377
600,306.352,0.02428
660,307.029,0.02465
720,307.418,0.02506
780,307.95599999999996,0.02552
840,308.292,0.02612
900,308.674,0.0266
960,309.241,0.02687
1020,309.50399999999996,0.02732
1080,310.217,0.02793
1140,310.56899999999996,0.02826
1200,311.032,0.02891
1260,311.284,0.02921
1320,311.917,0.02961
1380,312.275,0.03029
1440,312.60799999999995,0.03051
1500,312.745,0.03098
1560,313.21099999999996,0.03137
1620,313.388,0.03179
1680,313.77099999999996,0.03219
1740,314.316,0.03262
1800,314.66299999999995,0.03307
1860,315.068,0.03345
1920,315.102,0.03403
1980,315.41299999999995,0.03447
2040,315.739,0.03476
2100,315.895,0.03513
2160,316.135,0.03558
2220,316.543,0.03609
2280,316.68399999999997,0.03646
2340,317.12,0.03653
2400,317.25199999999995,0.03694
2460,317.65299999999996,0.03731
2520,317.813,0.03766
2580,317.851,0.03812
2640,318.28799999999995,0.0384
2700,318.47299999999996,0.03858
2760,318.474,0.03903
2820,318.61199999999997,0.0394
2880,318.96799999999996,0.03954
2940,318.88899999999995,0.04013
3000,319.08,0.04011
3060,319.149,0.04076
3120,319.662,0.0407
3180,319.75199999999995,0.04128
3240,319.911,0.04157
3300,320.08299999999997,0.04187
3360,320.06199999999995,0.04205
3420,320.239,0.04229
3480,320.15799999999996,0.04247
3540,320.26099999999997,0.04277
3600,320.635,0.04272
3660,320.64799999999997,0.04312
3720,320.796,0.04333
3780,320.99,0.04369
3840,321.02299999999997,0.04373
3900,321.07599999999996,0.04389
3960,321.166,0.0442
4020,321.12699999999995,0.04422
4080,321.07599999999996,0.04435
4140,321.349,0.04468
4200,321.316,0.04483
4260,321.481,0.04491
4320,321.765,0.04514
4380,321.53,0.0453
4440,321.50699999999995,0.04543
4500,321.676,0.04561
4560,321.74,0.04589
4620,321.97499999999997,0.04585
4680,321.977,0.04629
4740,322.138,0.04641
4800,322.12899999999996,0.04633
4860,322.04999999999995,0.04639
4920,322.294,0.0466
4980,322.02,0.04687
5040,321.99,0.04689
5100,322.063,0.04707
5160,322.411,0.04705
5220,322.31899999999996,0.0472
5280,322.20599999999996,0.04713
5340,322.407,0.04744
5400,322.26599999999996,0.04728
5460,322.565,0.0476
5520,322.471,0.04777
5580,322.467,0.04751
5640,322.45399999999995,0.04782
5700,322.642,0.04765
5760,322.534,0.04802
5820,322.42199999999997,0.04779
5880,322.46,0.04827
5940,322.899,0.04795
6000,322.893,0.04841
6060,322.80999999999995,0.0484
6120,322.613,0.04836
6180,322.97999999999996,0.04851
6240,322.90299999999996,0.04858
6300,322.88899999999995,0.04871
6360,322.772,0.04842
6420,322.7,0.04864
6480,322.62699999999995,0.04845
6540,323.041,0.04875
6600,322.83299999999997,0.04858
6660,322.719,0.04882
6720,322.78299999999996,0.04886
6780,322.931,0.04885
6840,322.74199999999996,0.04892
6900,323.091,0.04908
6960,323.05199999999996,0.04913
7020,323.042,0.04902
7080,322.909,0.04911
7140,323.015,0.0493
7200,323.00199999999995,0.04894
7260,323.043,0.04897
7320,322.769,0.04898
7380,322.942,0.04929
7440,322.762,0.0492
7500,322.995,0.04941
7560,322.91999999999996,0.04938
7620,322.83299999999997,0.04924
7680,322.81899999999996,0.04954
7740,323.066,0.0495
7800,322.864,0.04928
7860,323.245,0.04935
7920,323.07899999999995,0.04934
7980,322.967,0.04929
8040,323.09299999999996,0.0493
8100,322.81399999999996,0.04971
8160,323.28499999999997,0.04948
8220,323.05199999999996,0.04947
8280,323.20599999999996,0.04966
8340,322.85999999999996,0.04959
8400,323.065,0.0498
8460,323.07,0.04973
8520,323.29699999999997,0.0496
8580,323.11699999999996,0.04956
8640,323.07099999999997,0.04988
8700,322.971,0.04976
8760,323.006,0.04989
8820,323.10299999999995,0.04949
8880,323.065,0.04986
8940,322.85799999999995,0.04977
9000,323.313,0.04981
9060,323.34799999999996,0.05004
9120,322.96999999999997,0.05009
9180,323.17699999999996,0.04976
9240,322.95399999999995,0.04998
9300,323.236,0.05016
9360,323.041,0.0499
9420,323.22999999999996,0.04998
9480,323.263,0.04997
9540,323.284,0.0499
9600,322.95399999999995,0.05021
9660,323.35799999999995,0.05014
9720,323.015,0.04981
9780,322.919,0.05025
9840,323.17699999999996,0.05019
9900,323.085,0.04989
9960,323.315,0.05017
10020,323.304,0.0498
10080,323.05899999999997,0.05025
10140,323.376,0.05008
10200,323.04499999999996,0.05008
10260,323.15799999999996,0.0498
10320,323.02799999999996,0.0502
10380,323.368,0.04976
10440,322.98199999999997,0.04987
10500,322.92199999999997,0.04982
10560,323.118,0.05014
10620,323.39599999999996,0.04985
10680,323.346,0.05021
10740,323.274,0.05008
10800,323.34499999999997,0.04977
10860,323.347,0.04975
10920,323.159,0.04978
10980,323.058,0.05005
11040,323.286,0.05015
11100,323.231,0.04987
11160,323.087,0.05017
11220,322.947,0.04978
11280,323.27299999999997,0.05015
11340,323.03099999999995,0.05021
11400,323.368,0.05014
11460,323.02,0.0501
11520,322.96099999999996,0.05017
11580,323.316,0.04977
11640,322.977,0.04985
11700,322.99,0.04981
11760,323.2,0.05
11820,323.337,0.05012
11880,322.998,0.05007
11940,323.05499999999995,0.05018
12000,323.289,0.04983
12060,323.38599999999997,0.05012
12120,323.15,0.04985
12180,322.972,0.04989
12240,322.907,0.0501
12300,323.015,0.05024
12360,322.966,0.05006
12420,323.239,0.04978
12480,322.96099999999996,0.05006
12540,323.15299999999996,0.04977
12600,323.24699999999996,0.05019
12660,323.191,0.0501
12720,323.0,0.04984
12780,323.30199999999996,0.0498
12840,323.258,0.04984
12900,323.269,0.05024
12960,322.966,0.04998
13020,322.962,0.05014
13080,323.364,0.05007
13140,323.099,0.05004
13200,323.04999999999995,0.04982
13260,323.144,0.05022
13320,323.231,0.0499
13380,323.378,0.05004
13440,323.043,0.0501
13500,323.36199999999997,0.05007
13560,322.912,0.05022
13620,323.178,0.04982
13680,323.217,0.05
13740,322.953,0.04995
13800,322.96999999999997,0.04999
13860,323.10999999999996,0.04981
13920,323.383,0.04982
13980,323.198,0.04989
14040,323.36699999999996,0.0499
14100,323.30199999999996,0.04996
14160,323.13399999999996,0.05006
14220,323.292,0.05007
14280,322.909,0.04996
14340,322.955,0.04995
14400,323.315,0.04986
